,CATEGORY,TAGS,ga_txt_cleaned
23081,Testing,junit|scripting|tags,common tag junit
16848,DNS Libraries,dns,jcloud provider aw route
9308,Build Automation Tool Plugins,build|build-system|embedded|maven|plugin|server|tomcat|tools|webserver,ds tool maven plugin embed tomcat
26321,File Handler,pdf,pdf
2819,Web Applications,application|example|jboss|jsf|web|webapp,jboss weld example jsf numberguess
19163,Example,example,example
6856,UI,assets|data|web,webjar datum
16696,Build Automation Tool Plugins,descriptor|io|json|maven|platform|plugin,quarkus platform descriptor json plugin
1158,Build Automation Tool Plugins,android|build|build-system|maven|plugin,jayway maven plugin android generation
20475,Example,example|osgi,phobo sample osgi
22879,File Handler,json,json jackson
9310,Build Automation Tool Plugins,build|build-system|encoding|maven|plugin,intersult maven plugin
11453,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin polymer
24376,Logging / Monitoring,logging,log
15227,Crawler,crawler|system,system crawler
948,Code analyses,analysis|build|build-system|maven|plugin,jmeter analysis maven plugin
1778,Web Applications,application|authentication|example|extension|identity|web|webapp,wso carbon identity sample extension auth endpoint
7894,Benchmarks,benchmark|csv,supercsv super csv benchmark
15864,File Handler,csv,puresoltechnologie streaming csv
5594,Web Applications,application|web|webapp,app api
11450,Build Automation Tool Plugins,build|build-system|maven|plugin,external atlassian jgitflow maven plugin
8981,Build Automation Tool Plugins,build|build-system|cassandra|database|maven|plugin,pro cassandra common maven
27503,Marshalling / Unmarshalling,serialization,xuwei msgpackz coresjs
6160,Web Applications,application|web|webapp,jvnet hudson rs
14020,Chart Libraries,chart|eclipse|model|visualization,dentrassi neoscada hmi scada vi chart model edit
23815,Languages / Compiler / Interpretation,language,sourceforge
18916,Example,example,dishevel dsh example
22315,Languages / Compiler / Interpretation,javax|mail|smtp|specs|standard,javax mail smtp
7074,UI,assets|web,webjar bowergithub polymerelement iron behavior
7561,File System,aws|build|build-system|maven|s3,adamcin kuali maven wagon
12213,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
7688,Build Automation Tool Plugins,azure|build|build-system|maven|plugin,microsoft azure maven plugin
8763,Operations management,bpm|resource|template,jbpm contrib template resource
