,CATEGORY,TAGS,ga_txt_cleaned
25747,Native Access Tools,native,jboss ws native jbossws saaj
16008,File Handler,csv,gov nationalarchive csv validator cmd
15832,UI,css|swt,ui css swt
10394,Build Automation Tool Plugins,build|build-system|maven|plugin,davidmoten decrypt maven plugin
25452,Testing,mock|mocking|specs|testing,spec mock
10005,Build Automation Tool Plugins,build|build-system|markdown|maven|plugin,jbellmann maven plugin markdown
10321,Build Automation Tool Plugins,build|build-system|maven|plugin,mojo taglist maven plugin
25685,Native Access Tools,native,datastax oss simulacron native server
16134,Natural Language Processing,database|graph|neo4j|nlp,graphaware nlp neoj concept
9022,Build Automation Tool Plugins,build|build-system|cloud|maven|plugin|toolkit|tools,alibaba cloud toolkit maven plugin
22743,Database,jpa|persistence,sdorra jpa unit
20887,Example,example|spring,dawn rlock spring boot sample
20683,Example,example|rule-engine,drool planner example
16717,IDE Modules,directory|eclipse|plugin,directory studio templateeditor
9830,Build Automation Tool Plugins,build|build-system|io|maven|plugin|tracing,opentrace contrib specialagent agentrule maven plugin
26583,Messaging / Integration,queue,zgqq flycat queue ali
16174,Database,database|nosql,mongodb casbah
8732,IDE Modules,bpm|eclipse|plugin,jbpm task
28578,Cluster Managment,yarn|hadoop|io,hop hadoop yarn site
5589,Web Applications,application|web|webapp,henkexbg gallery api
1851,Web Applications,application|batch|bpm|example|extension|web|webapp,camunda bpm extension batch example custom simple
27548,Marshalling / Unmarshalling,serialization|twitter,twitter chill
3613,Web Applications,application|example|web|webapp,switchyard quickstart demos demo order
11096,Build Automation Tool Plugins,build|build-system|maven|plugin,jlefebure sentry release maven plugin
3418,Example,application|example|web|webapp,taco beanform example
10519,Build Automation Tool Plugins,build|build-system|maven|plugin,mavenplugin maven doct plugin
13935,Database,cassandra|database,cassandra
2796,Example,application|example|javascript|jquery|web|webapp,cometd javascript example jquery
11399,Build Automation Tool Plugins,build|build-system|maven|plugin,adito maven jnlp plugin
6753,Aspect Oriented,aspect|aop,zeroturnaround javarebel aspectj plugin
4707,Web Applications,application|portal|web|webapp,sakaiproject portal tool
25449,Testing,mock|mocking|specs|testing,spec mock
23691,Reflection Libraries,kotlin|reflection,jetbrain kotlin reflect
1784,Web Applications,application|authentication|example|io|web|webapp,hawt hawtio sample springboot authentication
17774,Example,example,geronimo sample all
2001,Web Applications,application|build|build-system|jboss|maven|plugin|testing|web|webapp,jboss arquillian maven plugin test
24473,Logging / Monitoring,logging,lightoze errbit logger
6924,UI,assets|jquery|web,webjar jquery mousewheel
21682,File Handler,google|svg,google elemental svg
11350,Build Automation Tool Plugins,build|build-system|maven|plugin,tocea scertify maven plugin
4183,Web Applications,application|jaxrs|rest|web|webapp,wso ei jaxrsbasic
9017,Build Automation Tool Plugins,build|build-system|cloud|maven|plugin|sdk,sap cloud shana plugin ssdk maven
21070,Example,example|ui,adobe cq core wcm component example ui app
20332,Example,example|logging,qos logback example
26448,Annotation Processing,persistence|annotations|processor|hibernate|validation,hibernate validator annotation processor
11674,Build Automation Tool Plugins,build|build-system|maven|plugin,sourceforge reqtracer mojo jrt maven plugin
25200,Build Automation Tool Plugins,maven|plugin,tslnano tsl nano mavengenerator
13560,Example,camel|example|service|spring,camel example spring boot servicecall service
433,Actor Frameworks,actor|concurrency|scala,scala lang virtualize actor
12322,Build Automation Tool Plugins,build|build-system|maven|plugin,zeroturnaround jrebel maven plugin
27545,Marshalling / Unmarshalling,serialization,deg pbdirect
5804,Web Applications,application|web|webapp,manorrock calico
11335,Build Automation Tool Plugins,build|build-system|maven|plugin,theoryinpractise frege maven plugin
12757,Build Automation Tool Plugins,build|build-system|maven|plugin|testing,mojo dbunit maven plugin
26983,Testing,scala|specs|testing|tools,scala tool testing spec
4447,Web Applications,application|module|portlet|web|webapp,vgregion cs iframe core module portlet
16430,Machine Learning,deep-learning|machine-learning,visionj vgg deeplearningj classifier
5401,Testing,application|testing|web|webapp,glassfish ozark test redirect
8491,UI,bootstrap,liftmodule fobo twbs bootstrap
17186,OSGi,eclipse|osgi,osgi
6915,UI,assets|jquery|web,webjar jquery ease
19264,Example,example,qiaolin apollo hotupdate demo
22979,File Handler,json|scala|web-framework,liftweb lift json
10302,Build Automation Tool Plugins,build|build-system|maven|plugin,mojo rat maven plugin
2885,Example,application|example|jsf|portlet|web|webapp,liferay face demos jsf cdi portlet
705,File System,amazon|aws|elastic|elasticsearch|s3|search,lbroudoux elasticsearch amazon river
15379,Cryptography,cryptography,qaprosoft carina crypto
24679,Logging / Monitoring,logging|osgi,daisy libs logback osgi adapter
22148,Marshalling / Unmarshalling,io|json|serialization,zeebe zb msgpack json path
5488,Web Applications,application|ui|web|webapp,dspace ui share
26432,Database,persistence,willtong mybatis helper
3087,Web Applications,application|example|scala|swagger|web|webapp,wordnik swagger scala sample
18200,Example,example,lifeonwalden app example
15672,Cryptography,cryptography|json,codingrodent jackson crypto json
19668,Example,example|integration|spring|testing,jashmore java dynamic sqs listener spring integration test example
5036,Web Applications,application|server|web|webapp,helger peppol smp server lightweight
3253,Web Applications,application|example|swagger|web|webapp,wordnik swagger java sample app
21878,Graph Algorithms and Tools,graph|scala,assembla scala incubator graph core
27844,Database,storage|streaming,bookkeeper stream storage api
512,Web Applications,admin|application|web|webapp,babababa booster app web admin
27361,Security / Authentification,security|spring,vindell spring boot starter shiro
15990,File Handler,csv,flatpack
2012,Web Applications,application|build|tools|web|webapp,syncope build tool
28587,Cluster Managment,yarn|spring|cloud|hadoop,springframework cloud spring starter deployer yarn
14301,Application Layer Protocol Integration,client|http,kuali common httpclient
