,CATEGORY,TAGS,ga_txt_cleaned
22938,File Handler,json|native,json native
14861,Languages / Compiler / Interpretation,compiler|scala,scala lang reflect
2279,Web Applications,application|connector|gateway|web|webapp,gateway connector
7110,UI,assets|web,webjar
11394,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
14411,Application Layer Protocol Integration,client|http|webservice,jersey contrib client
5904,Web Applications,application|web|webapp,aequologica neo waffle
21340,Application Layer Protocol Integration,ftp|network,core
23475,Stream Processing,kafka|streaming,kafka base
16908,DNS Libraries,dns|network|socket,netty resolver dns
450,Logging / Monitoring,actor|logging|akka|distributed|spark|concurrency|slf4j,spark project akka slfj
7568,Database,aws|client|database|dynamodb,dynamodb
12416,Build Automation Tool Plugins,build|build-system|maven|plugin,wso maven plugin
12268,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
6628,Web Applications,application|web|web-framework|webapp,strut
11651,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
16835,DNS Libraries,dns,jcloud provider
13006,Caching,cache,backend infinispan
255,Actor Frameworks,actor|akka|concurrency|distributed,api akka
12794,Build Automation Tool Plugins,build|build-system|maven|plugin|tools,mule tool maven plugin
13683,Testing,camel|integration|testing,camel quarkus integration test
10746,Build Automation Tool Plugins,build|build-system|maven|plugin,cern maven plugin
2241,Web Applications,application|cms|platform|web|webapp,alfresco platform
121,Database,actor|akka|amazon|aws|concurrency|database|distributed|dynamodb|reactive,jiko reactive aw dynamodb akka
4695,Web Applications,application|portal|web|webapp,portal
9347,Build Automation Tool Plugins,build|build-system|extension|maven|plugin,extension maven plugin
8828,Example,broker|example|jms|jmx|queue,activemq example broker jmx
15193,Crawler,crawler|distribution|elastic|elasticsearch|search,pilato elasticsearch crawler fscrawler distribution
20917,Example,example|spring,spring boot example
12283,Build Automation Tool Plugins,build|build-system|maven|plugin,maven plugin
12979,Bytecode Libraries,bytecode,asm all
1050,Code analyses,analysis|deployment,project deploy analysis
26611,Database,redis|database|protocol|client,protocol
28520,File Handler,yaml,workbench yaml
12813,Build Automation Tool Plugins,build|build-system|maven|plugin|tools,immutable tool maven shade plugin
4793,Web Applications,application|registry|rest|web|webapp,wso carbon registry rest api
23526,Stream Processing,kafka|streaming,datamountaineer kafka connect
